CurrentBlock,InteractionMode,ImageName,GlaucomaGroundTruth,GlaucomaDecision,Message,DecisionConfidenceLevel
PracticeBlock,NoAOIAugmentationState,9071_OD_2021_widefield_report,G,G,"test",3
PracticeBlock,StaticAOIAugmentationState,9071_OD_2021_widefield_report,G,G,"asdf",3
PracticeBlock,ResnetAOIAugmentationState,9071_OD_2021_widefield_report,G,G,"test",3
TestBlock,StaticAOIAugmentationState,RLS_064_OS_TC,S,G,"tesadf",3
TestBlock,StaticAOIAugmentationState,RLS_053_OD_TC,S,G,"tesadf",3
TestBlock,StaticAOIAugmentationState,RLS_036_OS_TC,G,G,"tsadf",3
TestBlock,StaticAOIAugmentationState,9140_OD_2021_widefield_report,G,G,"asdf",3
TestBlock,StaticAOIAugmentationState,9025_OD_2021_widefield_report,G,G,"asdf",3
TestBlock,StaticAOIAugmentationState,RLS_078_OS_TC,S,S,"asdfasfd",3
TestBlock,NoAOIAugmentationState,9005_OS_2021_widefield_report,S_Suspects,S,"asdf",3
TestBlock,NoAOIAugmentationState,RLS_051_OS_TC,S,S,"asdf",3
TestBlock,NoAOIAugmentationState,8962_OS_2021_widefield_report,S,S,"asdfasdf",3
TestBlock,NoAOIAugmentationState,RLS_045_OD_TC,G,G,"asdfasdf",3
TestBlock,NoAOIAugmentationState,RLS_083_OD_TC,G,G,"asdfasfd",3
TestBlock,NoAOIAugmentationState,RLS_097_OD_TC,G,G,"asdf",3
TestBlock,ResnetAOIAugmentationState,RLS_081_OD_TC,S,G,"asdfasdfasdfsadf",3
TestBlock,ResnetAOIAugmentationState,RLS_079_OD_TC,G,G,"asdfasdf",3
TestBlock,ResnetAOIAugmentationState,RLS_060_OS_TC,G,G,"asdf",3
TestBlock,ResnetAOIAugmentationState,RLS_038_OD_TC,S,G,"asdfasdf",3
TestBlock,ResnetAOIAugmentationState,RLS_092_OS_TC,G_Suspects_2,G,"asdf",3
TestBlock,ResnetAOIAugmentationState,RLS_148_OD_TC,S,G,"asdf",3
