CurrentBlock,InteractionMode,ImageName,GlaucomaGroundTruth,GlaucomaDecision,Message,DecisionConfidenceLevel
PracticeBlock,NoAOIAugmentationState,9071_OD_2021_widefield_report,G,S,"asdaw",3
PracticeBlock,StaticAOIAugmentationState,9071_OD_2021_widefield_report,G,S,"sdfsedf",3
PracticeBlock,ResnetAOIAugmentationState,9071_OD_2021_widefield_report,G,S,"sdafcaasd",2
TestBlock,ResnetAOIAugmentationState,RLS_053_OD_TC,S,S,"adsasda",2
TestBlock,ResnetAOIAugmentationState,RLS_036_OS_TC,G,S,"dasawd",3
TestBlock,ResnetAOIAugmentationState,RLS_045_OD_TC,G,S,"asdasdwa",3
TestBlock,ResnetAOIAugmentationState,RLS_064_OS_TC,S,S,"asdwas",3
TestBlock,ResnetAOIAugmentationState,RLS_081_OD_TC,S,S,"adawsd",3
TestBlock,ResnetAOIAugmentationState,9025_OD_2021_widefield_report,G,S,"asdwascfas",2
TestBlock,NoAOIAugmentationState,RLS_092_OS_TC,G_Suspects_2,S,"asdasdfaw",3
TestBlock,NoAOIAugmentationState,RLS_051_OS_TC,S,S,"asdfawasd",0
TestBlock,NoAOIAugmentationState,RLS_060_OS_TC,G,S,"sadwas",2
TestBlock,NoAOIAugmentationState,8962_OS_2021_widefield_report,S,S,"asdwas",2
TestBlock,NoAOIAugmentationState,9005_OS_2021_widefield_report,S_Suspects,S,"asdwasfwasd",1
TestBlock,NoAOIAugmentationState,RLS_097_OD_TC,G,S,"asdwasd",2
TestBlock,StaticAOIAugmentationState,RLS_148_OD_TC,S,S,"sdawdad",3
TestBlock,StaticAOIAugmentationState,RLS_038_OD_TC,S,S,"asdawdsd",3
TestBlock,StaticAOIAugmentationState,9140_OD_2021_widefield_report,G,S,"asdwasd",3
TestBlock,StaticAOIAugmentationState,RLS_079_OD_TC,G,S,"asdwasda",1
TestBlock,StaticAOIAugmentationState,RLS_078_OS_TC,S,S,"asdwasd",3
TestBlock,StaticAOIAugmentationState,RLS_083_OD_TC,G,S,"asdasfea",3
