CurrentBlock,InteractionMode,ImageName,GlaucomaGroundTruth,GlaucomaDecision,Message,DecisionConfidenceLevel
PracticeBlock,NoAOIAugmentationState,9071_OD_2021_widefield_report,G,G,"test",3
PracticeBlock,StaticAOIAugmentationState,9071_OD_2021_widefield_report,G,S,"test",3
PracticeBlock,ResnetAOIAugmentationState,9071_OD_2021_widefield_report,G,G,"asdfsafasf",3
TestBlock,ResnetAOIAugmentationState,RLS_081_OD_TC,S,G,"teset",3
TestBlock,ResnetAOIAugmentationState,RLS_097_OD_TC,G,G,"tsetasdfasf",3
TestBlock,ResnetAOIAugmentationState,RLS_064_OS_TC,S,S,"testasf",3
TestBlock,ResnetAOIAugmentationState,RLS_038_OD_TC,S,G,"tesetasfd",3
TestBlock,ResnetAOIAugmentationState,RLS_092_OS_TC,G_Suspects_2,G,"tseaset",3
TestBlock,ResnetAOIAugmentationState,RLS_045_OD_TC,G,G,"teset",3
TestBlock,StaticAOIAugmentationState,RLS_078_OS_TC,S,S,"testaset",3
TestBlock,StaticAOIAugmentationState,RLS_148_OD_TC,S,S,"tasdfasdf",3
TestBlock,StaticAOIAugmentationState,9005_OS_2021_widefield_report,S_Suspects,S,"tasdfasdf",3
TestBlock,StaticAOIAugmentationState,RLS_060_OS_TC,G,S,"setasdt",3
TestBlock,StaticAOIAugmentationState,RLS_079_OD_TC,G,G,"asfasf",3
TestBlock,StaticAOIAugmentationState,9025_OD_2021_widefield_report,G,G,"afasf",3
TestBlock,NoAOIAugmentationState,8962_OS_2021_widefield_report,S,S,"tasdfasdf",3
TestBlock,NoAOIAugmentationState,RLS_053_OD_TC,S,S,"asdfasfa",3
TestBlock,NoAOIAugmentationState,RLS_036_OS_TC,G,G,"asdfasfasf",3
TestBlock,NoAOIAugmentationState,9140_OD_2021_widefield_report,G,S,"asdfsafasdf",3
TestBlock,NoAOIAugmentationState,RLS_051_OS_TC,S,S,"asdfasfasdf",3
TestBlock,NoAOIAugmentationState,RLS_083_OD_TC,G,G,"asfasfasf",3
